Frame,Speed,Altitude,Time,,,,
796,83,1,24.15,,,,
797,83,1,24.19,,,,
798,84,1,24.22,,,,
799,84,1,24.26,,,,
800,84,1,24.29,,,,
801,84,1,24.32,,,,
802,84,1,24.36,,,,
803,84,1,24.39,,,,
804,85,1,24.42,,,,
805,85,1,24.46,,,,
806,85,1,24.49,,,,
807,85,1,24.52,,,,
808,85,1,24.56,,,,
809,85,1,24.59,,,,
810,85,1,24.62,,,,
811,86,1,24.66,,,,
812,86,1,24.69,,,,
813,86,1,24.72,,,,
814,86,1,24.76,,,,
815,86,1,24.79,,,,
816,86,1,24.82,,,,
817,86,1,24.86,,,,
818,87,1,24.89,,,,
819,87,1,24.92,,,,
820,87,1,24.96,,,,
821,87,1,24.99,,,,
822,87,1,25.02,,,,
823,87,1,25.06,,,,
824,88,1,25.09,,,,
825,88,1,25.12,,,,
826,88,1,25.16,,,,
827,88,1,25.19,,,,
828,88,1,25.22,,,,
829,88,1,25.26,,,,
830,89,1,25.29,,,,
831,89,1,25.32,,,,
832,89,1,25.36,,,,
833,89,1,25.39,,,,
834,89,1,25.42,,,,
835,89,1,25.46,,,,
836,90,1,25.49,,,,
837,90,1,25.52,,,,
838,90,1,25.56,,,,
839,90,1,25.59,,,,
840,90,1,25.62,,,,
841,90,1,25.66,,,,
842,90,1,25.69,,,,
843,91,1,25.72,,,,
844,91,1,25.76,,,,
845,91,1,25.79,,,,
846,91,1,25.82,,,,
847,91,1,25.86,,,,
848,91,1,25.89,,,,
849,91,1,25.92,,,,
850,92,1,25.96,,,,
851,92,1,25.99,,,,
852,92,1,26.02,,,,
853,92,1,26.06,,,,
854,92,1,26.09,,,,
855,92,1,26.12,,,,
856,92,1,26.16,,,,
857,93,1,26.19,,,,
858,93,1,26.22,,,,
859,93,1,26.26,,,,
860,93,1,26.29,,,,
861,93,1,26.32,,,,
862,93,1,26.36,,,,
863,94,1,26.39,,,,
864,94,1,26.42,,,,
865,94,1,26.46,,,,
866,94,1,26.49,,,,
867,94,1,26.52,,,,
868,94,1,26.56,,,,
869,95,1,26.59,,,,
870,95,1,26.62,,,,
871,95,1,26.66,,,,
872,95,1,26.69,,,,
873,95,1,26.72,,,,
874,95,1,26.76,,,,
875,95,1,26.79,,,,
876,96,1,26.82,,,,
877,96,1,26.86,,,,
878,96,1,26.89,,,,
879,96,1,26.92,,,,
880,96,1,26.96,,,,
881,96,1,26.99,,,,
882,97,1,27.02,,,,
883,97,1,27.06,,,,
884,97,1,27.09,,,,
885,97,1,27.12,,,,
886,97,1,27.16,,,,
887,97,1,27.19,,,,
888,98,1,27.22,,,,
889,98,1,27.26,,,,
890,98,1,27.29,,,,
891,98,1,27.32,,,,
892,98,1,27.36,,,,
893,98,1,27.39,,,,
894,99,1,27.42,,,,
895,99,1,27.46,,,,
896,99,1,27.49,,,,
897,99,1,27.52,,,,
898,99,1,27.56,,,,
899,99,1,27.59,,,,
900,100,1,27.62,,,,
901,100,1,27.66,,,,
902,100,1,27.69,,,,
903,100,1,27.72,,,,
904,100,1,27.76,,,,
905,100,1,27.79,,,,
906,100,1,27.82,,,,
907,101,1,27.86,,,,
908,101,1,27.89,,,,
909,101,1,27.92,,,,
910,101,1,27.96,,,,
911,101,1,27.99,,,,
912,101,1,28.03,,,,
913,101,1,28.06,,,,
914,102,1,28.09,,,,
915,102,1,28.13,,,,
