Frame,Speed,Altitude,Time,Distance,Acceleration
350,23,0.0,9.27,78.75999999999993,3.225806451612898
351,23,0.0,9.31,79.67999999999995,3.225806451612898
352,23,0.0,9.34,80.36999999999993,3.225806451612898
353,23,0.0,9.38,81.28999999999995,3.225806451612898
354,23,0.0,9.41,81.97999999999993,3.225806451612898
355,23,0.0,9.44,82.66999999999992,3.225806451612898
356,24,0.0,9.48,83.62999999999994,3.8461538461538494
357,24,0.0,9.51,84.34999999999992,3.8461538461538494
358,24,0.0,9.54,85.06999999999991,3.8461538461538494
359,24,0.0,9.58,86.02999999999993,3.8461538461538494
360,24,0.0,9.61,86.74999999999991,3.8461538461538494
361,24,0.0,9.64,87.46999999999994,3.8461538461538494
362,24,0.0,9.68,88.42999999999992,3.8461538461538494
363,24,0.0,9.71,89.14999999999995,3.8461538461538494
364,25,0.0,9.74,89.89999999999993,3.7037037037037095
365,25,0.0,9.78,90.89999999999992,3.7037037037037095
366,25,0.0,9.81,91.64999999999995,3.7037037037037095
367,25,0.0,9.84,92.39999999999993,3.7037037037037095
368,25,0.0,9.88,93.39999999999996,3.7037037037037095
369,25,0.0,9.91,94.14999999999995,3.7037037037037095
370,25,0.0,9.94,94.89999999999993,3.7037037037037095
371,25,0.0,9.98,95.89999999999996,3.7037037037037095
372,26,0.0,10.01,96.67999999999995,3.7037037037037095
373,26,0.0,10.04,97.45999999999994,3.7037037037037095
374,26,0.0,10.08,98.49999999999996,3.7037037037037095
375,26,0.0,10.11,99.27999999999994,3.7037037037037095
376,26,0.0,10.14,100.05999999999997,3.7037037037037095
377,26,0.0,10.18,101.09999999999995,3.7037037037037095
378,26,0.0,10.21,101.87999999999998,3.7037037037037095
379,26,0.0,10.24,102.65999999999997,3.7037037037037095
380,27,0.0,10.28,103.73999999999995,3.3333333333333255
381,27,0.0,10.31,104.54999999999998,3.3333333333333255
382,27,0.0,10.34,105.35999999999997,3.3333333333333255
383,27,0.0,10.38,106.44,3.3333333333333255
384,27,0.0,10.41,107.24999999999999,3.3333333333333255
385,27,0.0,10.44,108.05999999999997,3.3333333333333255
386,27,0.0,10.48,109.14,3.3333333333333255
387,27,0.0,10.51,109.94999999999999,3.3333333333333255
388,27,0.0,10.54,110.75999999999998,3.3333333333333255
389,28,0.0,10.58,111.88,4.3478260869565135
390,28,0.0,10.61,112.71999999999997,4.3478260869565135
391,28,0.0,10.64,113.56,4.3478260869565135
392,28,0.0,10.68,114.67999999999998,4.3478260869565135
393,28,0.0,10.71,115.52000000000001,4.3478260869565135
394,28,0.0,10.74,116.35999999999999,4.3478260869565135
395,28,0.0,10.78,117.47999999999996,4.3478260869565135
396,29,0.0,10.81,118.35,3.333333333333345
397,29,0.0,10.84,119.21999999999997,3.333333333333345
398,29,0.0,10.88,120.38,3.333333333333345
399,29,0.0,10.91,121.24999999999997,3.333333333333345
400,29,0.0,10.94,122.11999999999995,3.333333333333345
401,29,0.0,10.98,123.27999999999997,3.333333333333345
402,29,0.0,11.01,124.14999999999995,3.333333333333345
403,29,0.0,11.04,125.01999999999992,3.333333333333345
404,29,0.0,11.08,126.17999999999995,3.333333333333345
405,30,0.0,11.11,127.07999999999993,3.703703703703685
406,30,0.0,11.14,127.97999999999996,3.703703703703685
407,30,0.0,11.18,129.17999999999995,3.703703703703685
408,30,0.0,11.21,130.07999999999998,3.703703703703685
409,30,0.0,11.24,130.97999999999996,3.703703703703685
410,30,0.0,11.28,132.17999999999995,3.703703703703685
411,30,0.0,11.31,133.07999999999998,3.703703703703685
412,30,0.0,11.34,133.97999999999996,3.703703703703685
413,31,0.0,11.38,135.22,3.8461538461538494
414,31,0.0,11.41,136.14999999999998,3.8461538461538494
415,31,0.0,11.44,137.07999999999996,3.8461538461538494
416,31,0.0,11.48,138.32,3.8461538461538494
417,31,0.0,11.51,139.24999999999997,3.8461538461538494
418,31,0.0,11.54,140.17999999999995,3.8461538461538494
419,31,0.0,11.58,141.42,3.8461538461538494
420,31,0.0,11.61,142.34999999999997,3.8461538461538494
421,32,0.0,11.64,143.31,3.7037037037037095
422,32,0.0,11.68,144.58999999999997,3.7037037037037095
423,32,0.0,11.71,145.55,3.7037037037037095
424,32,0.0,11.74,146.51,3.7037037037037095
425,32,0.0,11.78,147.78999999999996,3.7037037037037095
426,32,0.0,11.81,148.75,3.7037037037037095
427,32,0.0,11.84,149.70999999999998,3.7037037037037095
428,32,0.0,11.88,150.99,3.7037037037037095
429,33,0.0,11.91,151.98,3.7037037037037095
430,33,0.0,11.94,152.96999999999997,3.7037037037037095
431,33,0.0,11.98,154.29,3.7037037037037095
432,33,0.0,12.01,155.27999999999997,3.7037037037037095
433,33,0.0,12.04,156.26999999999995,3.7037037037037095
434,33,0.0,12.08,157.58999999999997,3.7037037037037095
435,33,0.0,12.11,158.57999999999996,3.7037037037037095
436,33,0.0,12.14,159.57,3.7037037037037095
437,34,0.0,12.18,160.92999999999995,4.3478260869565135
438,34,0.0,12.21,161.95,4.3478260869565135
439,34,0.0,12.24,162.96999999999997,4.3478260869565135
440,34,0.0,12.28,164.32999999999993,4.3478260869565135
441,34,0.0,12.31,165.34999999999997,4.3478260869565135
442,34,0.0,12.34,166.36999999999995,4.3478260869565135
443,34,0.0,12.38,167.73,4.3478260869565135
444,35,0.0,12.41,168.77999999999997,4.3478260869565135
445,35,0.0,12.44,169.82999999999996,4.3478260869565135
446,35,0.0,12.48,171.23,4.3478260869565135
447,35,0.0,12.51,172.27999999999997,4.3478260869565135
448,35,0.0,12.54,173.32999999999996,4.3478260869565135
449,35,0.0,12.58,174.73,4.3478260869565135
450,35,0.0,12.61,175.77999999999997,4.3478260869565135
